001, Huỳnh Văn An, 01/02/1990, 2016123234, 0935678987, anhuynh@gmail.com, Trung Cấp, Lễ tân, 9000, Phục vụ
002, Nguyễn Văn Toàn, 01/02/1980, 2016123234, 0935678987, anhuynh@gmail.com, Trung Cấp, Lễ tân, 9000, Phục vụ
003, Hà Đức Chinh, 01/02/1985, 2016123234, 0935548987, chinhchinh@gmail.com, Trung Cấp, Lễ tân, 9000, Phục vụ
004, Đặng Văn Lâm, 01/02/1995, 2016123234, 0935600987, anhuynh@gmail.com, Trung Cấp, Lễ tân, 9000, Phục vụ
005, Nguyễn Quang Hải, 12/12/1990, 2016123234, 0935678987, anhuynh@gmail.com, Trung Cấp, Lễ tân, 9000, Phục vụ
006, Nguyễn Ngọc, 01/04/1990, 2016123234, 0935678987, anhuynh@gmail.com, Trung Cấp, Lễ tân, 9000, Phục vụ
007, Huỳnh Phan, 01/02/1990, 2016123234, 0935670087, phanphan@gmail.com, Đại học, Lễ tân, 9000, Phục vụ
008, Lê Văn Xuân, 01/02/1990, 2016123234, 0935678987, anhuynh@gmail.com, Trung Cấp, Lễ tân, 9000, Phục vụ
009, Phan Phú Tư, 01/04/1990, 2016123234, 0935699987, anhuynh@gmail.com, Trung Cấp, Lễ tân, 9000, Phục vụ
010, Huỳnh Văn Tam, 01/02/1970, 2016123234, 0935348914, anhuynh@gmail.com, Đại Học, Quản Lý, 15000, Giám đốc
011, Huỳnh Văn Thêm, 01/02/1970, 2016123234, 0935348914, anhuynh@gmail.com, Đại Học, Quản Lý, 15000, Giám đốc 
