001,Huỳnh Văn An,1990-02-04,2016123234,0935678987,anhuynh@gmail.com,Trung Cấp,Lễ tân,9000,Phục vụ
002,Nguyễn Văn Toàn,1990-02-04,2016123234,0935678987,anhuynh@gmail.com,Trung Cấp,Lễ tân,9000,Phục vụ
003,Hà Đức Chinh,1990-02-04,2016123234,0935548987,chinhchinh@gmail.com,Trung Cấp,Lễ tân,9000,Phục vụ
004,Đặng Văn Lâm,1990-02-04,2016123234,0935600987,anhuynh@gmail.com,Trung Cấp,Lễ tân,9000,Phục vụ
005,Nguyễn Quang Hải,1990-02-04,2016123234, 0935678987,anhuynh@gmail.com,Trung Cấp,Lễ tân,9000,Phục vụ
006,Nguyễn Ngọc,1970-02-04,2016123234,0935678987,anhuynh@gmail.com,Trung Cấp,Lễ tân,9000,Phục vụ
007,Huỳnh Phan,1990-02-04,2016123234,0935670087,phanphan@gmail.com,Đại học,Lễ tân,9000,Phục vụ
008,Lê Văn Xuân,1990-02-04,2016123234,0935678987,anhuynh@gmail.com,Trung Cấp,Lễ tân,9000,Phục vụ
009,Phan Phú Tư,1990-02-04,2016123234,0935699987,anhuynh@gmail.com,Trung Cấp,Lễ tân,9000,Phục vụ
010,Huỳnh Văn Thêm,1980-02-04,2016123234,0935348914,anhuynh@gmail.com,Đại Học,Quản Lý,15000,Giám đốc
